game_pk,hp_umpire_id,hp_umpire_name,game_total_k
632837,427197,Chris Guccione,16
632838,482666,D.J. Reyburn,19
632839,596809,Ryan Additon,20
632840,575629,Shane Livensparger,18
632841,427206,Tom Hallion,17
632842,427093,Phil Cuzzi,15
632843,504381,Will Little,12
632844,594151,Ramon De Jesus,24
632845,484198,Alan Porter,12
632846,511890,Quinn Wolcott,16
632847,427224,Ed Hickox,11
632848,484183,Cory Blaser,8
632849,573769,Jeremy Riggs,13
632850,482608,Scott Barry,25
632851,427243,Marvin Hudson,14
632852,483569,Vic Carapazza,13
632853,427366,Brian O'Nora,14
632854,521051,Nick Mahrley,16
632855,503502,Ryan Blakney,12
632856,427013,Lance Barksdale,14
632857,427413,Tony Randazzo,19
632858,521889,Stu Scheurwater,21
632859,427128,Rob Drake,9
632860,428442,James Hoye,13
632861,644760,Adam Beck,20
632862,482663,David Rackley,15
632863,427139,Doug Eddings,16
632864,427192,Brian Gorman,20
632865,431232,Chad Fairchild,21
632866,427509,Tim Timmons,15
632867,573769,Jeremy Riggs,15
632868,427537,Hunter Wendelstedt,22
632869,427093,Phil Cuzzi,16
632870,427248,Dan Iassogna,13
632871,490319,Jordan Baker,16
632872,577468,Roberto Ortiz,18
632873,483630,John Tumpane,16
632874,503586,Tripp Gibson,19
632875,427103,Gerry Davis,13
632876,427019,Ted Barrett,20
632877,482608,Scott Barry,11
632878,503490,Chris Segal,19
632879,427537,Hunter Wendelstedt,21
632880,427554,Jim Wolf,17
632881,483919,Mark Ripperger,22
632882,573597,Gabe Morales,17
632883,607884,Paul Clemons,9
632884,427197,Chris Guccione,14
632885,547380,Carlos Torres,20
632886,427248,Dan Iassogna,18
632887,427344,Bill Miller,16
632888,427292,Ron Kulpa,23
632889,427344,Bill Miller,18
632890,482641,Adrian Johnson,12
632891,503493,Sean Barber,19
632892,427292,Ron Kulpa,20
632893,596740,Jansen Visconti,12
632894,596740,Jansen Visconti,9
632895,573596,Pat Hoberg,21
632896,427053,Mark Carlson,14
632897,575629,Shane Livensparger,12
632898,427113,Laz Diaz,20
632899,482631,Mike Estabrook,25
632900,521889,Stu Scheurwater,10
632901,594151,Ramon De Jesus,14
632902,427103,Gerry Davis,16
632903,427537,Hunter Wendelstedt,22
632904,596805,John Libka,19
632905,504381,Will Little,15
632906,545402,John Bacon,15
632907,489985,Chad Whitson,13
632908,544728,Nic Lentz,15
632909,545402,John Bacon,17
632910,554242,Edwin Moscoso,23
632911,482620,Chris Conroy,23
632912,483912,Mike Muchlinski,11
632913,431232,Chad Fairchild,13
632914,427248,Dan Iassogna,19
632915,573769,Jeremy Riggs,17
632916,484198,Alan Porter,21
632917,596805,John Libka,16
632918,608093,Junior Valentine,13
632919,605672,Jeremie Rehak,20
632920,503502,Ryan Blakney,15
632921,483561,Lance Barrett,18
632922,427509,Tim Timmons,21
632923,427184,Greg Gibson,26
632924,573596,Pat Hoberg,23
632925,623946,Malachi Moore,17
632926,577468,Roberto Ortiz,17
632927,484499,Manny Gonzalez,22
632928,554242,Edwin Moscoso,13
632929,607884,Paul Clemons,22
632930,644760,Adam Beck,24
632931,503586,Tripp Gibson,18
632932,427554,Jim Wolf,18
632933,428442,James Hoye,16
632934,427362,Jeff Nelson,17
632935,427139,Doug Eddings,16
632936,427339,Jerry Meals,13
632937,427019,Ted Barrett,18
632938,503077,Adam Hamari,7
632939,573597,Gabe Morales,24
632940,596740,Jansen Visconti,8
632941,427538,Joe West,18
632942,482620,Chris Conroy,18
632943,490319,Jordan Baker,16
632944,427090,Fieldin Culbreth,21
632945,427292,Ron Kulpa,14
632946,605670,Dan Merzel,25
632947,427093,Phil Cuzzi,16
632948,482666,D.J. Reyburn,17
632949,503493,Sean Barber,14
632950,427315,Alfonso Márquez,22
632951,503490,Chris Segal,13
632952,483919,Mark Ripperger,16
632953,483561,Lance Barrett,27
632954,427424,Jim Reynolds,14
632955,623946,Malachi Moore,13
632956,483630,John Tumpane,19
632957,483569,Vic Carapazza,20
632958,521251,Ben May,26
632959,427534,Bill Welke,21
632960,431232,Chad Fairchild,19
632961,427184,Greg Gibson,14
632962,427197,Chris Guccione,11
632963,483912,Mike Muchlinski,12
632964,482631,Mike Estabrook,16
632965,427224,Ed Hickox,18
632966,484198,Alan Porter,9
632967,544728,Nic Lentz,15
632968,521889,Stu Scheurwater,16
632969,427315,Alfonso Márquez,15
632970,503502,Ryan Blakney,26
632971,427424,Jim Reynolds,11
632972,484183,Cory Blaser,18
632973,482608,Scott Barry,17
632974,427554,Jim Wolf,16
632975,605672,Jeremie Rehak,14
632976,521251,Ben May,19
632977,596809,Ryan Additon,12
632978,575629,Shane Livensparger,14
632979,427286,Brian Knight,15
632980,427366,Brian O'Nora,26
632981,427129,Bruce Dreckman,20
632982,427019,Ted Barrett,18
632983,427537,Hunter Wendelstedt,15
632984,547380,Carlos Torres,30
632985,427220,Angel Hernandez,15
632986,605670,Dan Merzel,19
632987,427344,Bill Miller,19
632988,503077,Adam Hamari,23
632989,504381,Will Little,19
632990,427128,Rob Drake,19
632991,607884,Paul Clemons,18
632992,489985,Chad Whitson,16
632993,427184,Greg Gibson,12
632994,427248,Dan Iassogna,25
632995,427224,Ed Hickox,18
632996,427538,Joe West,26
632997,429805,Todd Tichenor,14
632998,427339,Jerry Meals,15
632999,427093,Phil Cuzzi,17
633000,427413,Tony Randazzo,16
633001,490319,Jordan Baker,14
633002,483919,Mark Ripperger,17
633003,573769,Jeremy Riggs,11
633004,608158,Nate Tomlinson,21
633005,427224,Ed Hickox,17
633006,427520,Larry Vanover,16
633007,605671,Charlie Ramos,11
633008,427344,Bill Miller,13
633009,427206,Tom Hallion,20
633010,427103,Gerry Davis,17
633011,482663,David Rackley,17
633012,427090,Fieldin Culbreth,26
633013,547380,Carlos Torres,13
633014,482663,David Rackley,21
633015,644760,Adam Beck,17
633016,427129,Bruce Dreckman,20
633017,503493,Sean Barber,20
633018,427206,Tom Hallion,17
633019,427053,Mark Carlson,21
633020,511890,Quinn Wolcott,21
633021,427220,Angel Hernandez,21
633022,607884,Paul Clemons,20
633023,427093,Phil Cuzzi,14
633024,521051,Nick Mahrley,13
633025,427197,Chris Guccione,15
633026,482608,Scott Barry,13
633027,483569,Vic Carapazza,21
633028,573597,Gabe Morales,18
633029,596740,Jansen Visconti,23
633030,427537,Hunter Wendelstedt,23
633031,596805,John Libka,16
633032,429805,Todd Tichenor,13
633033,575629,Shane Livensparger,15
633034,623946,Malachi Moore,22
633035,503490,Chris Segal,20
633036,427520,Larry Vanover,13
633037,483630,John Tumpane,15
633038,503077,Adam Hamari,16
633039,594151,Ramon De Jesus,14
633040,483912,Mike Muchlinski,10
633041,483564,Dan Bellino,20
633042,484198,Alan Porter,18
